airport_icao,airport_iata,airport_name,city,route_distance_miles,ete_duration_min,ete_duration_hh_mm,num_departures,num_arrivals,num_flights
KDCA,DCA,Reagan National,Washington,422.61,66.79,01:07,23.0,24.0,47.0
KLGA,LGA,LaGuardia,New York,188.68,43.72,00:44,19.0,17.0,36.0
KORD,ORD,Chicago O'Hare Intl,Chicago,875.67,126.06,02:06,18.0,15.0,33.0
KPHL,PHL,Philadelphia Intl,Philadelphia,280.0,54.38,00:54,13.0,13.0,26.0
KATL,ATL,Hartsfield-Jackson Intl,Atlanta,960.77,138.27,02:18,13.0,13.0,26.0
KCLT,CLT,Charlotte/Douglas Intl,Charlotte,728.0,113.57,01:54,13.0,10.0,23.0
KMCO,MCO,Orlando Intl,Orlando,1138.6,156.79,02:37,10.0,12.0,22.0
KJFK,JFK,John F Kennedy Intl,New York,187.0,41.74,00:42,10.0,11.0,21.0
KBWI,BWI,Baltimore/Washington Intl,Baltimore,369.0,65.44,01:05,12.0,9.0,21.0
KLAX,LAX,Los Angeles Intl,Los Angeles,2614.9,338.54,05:39,10.0,9.0,19.0
KDFW,DFW,Dallas-Fort Worth Intl,Dallas-Fort Worth,1561.0,214.63,03:35,11.0,7.0,18.0
KTPA,TPA,Tampa Intl,Tampa,1229.9,168.24,02:48,10.0,8.0,18.0
KSFO,SFO,San Francisco Int'l,San Francisco,2700.0,341.22,05:41,11.0,7.0,18.0
KFLL,FLL,Fort Lauderdale Intl,Fort Lauderdale,1286.1,175.88,02:56,10.0,7.0,17.0
KEWR,EWR,Newark Liberty Intl,Newark,200.0,46.97,00:47,9.0,8.0,17.0
KDEN,DEN,Denver Intl,Denver,1751.0,228.9,03:49,10.0,6.0,16.0
KPBI,PBI,Palm Beach Intl,West Palm Beach,1210.5,174.6,02:55,8.0,7.0,15.0
KMIA,MIA,Miami Intl,Miami,1274.78,178.04,02:58,9.0,5.0,14.0
EGLL,LHR,London Heathrow,London,3273.29,390.1,06:30,7.0,6.0,13.0
TJSJ,SJU,Luis Munoz Marin Intl,San Juan,1703.57,230.19,03:50,7.0,6.0,13.0
KRDU,RDU,Raleigh-Durham Intl,Raleigh/Durham,631.0,91.19,01:31,8.0,5.0,13.0
KPIT,PIT,Pittsburgh Intl,Pittsburgh,495.0,76.92,01:17,6.0,6.0,12.0
KDTW,DTW,Detroit Metro Wayne Co,Detroit,639.67,92.67,01:33,6.0,6.0,12.0
KIAD,IAD,Washington Dulles Intl,Washington,413.0,75.25,01:15,5.0,6.0,11.0
KRSW,RSW,Southwest Florida Intl,Fort Myers,1336.5,177.3,02:57,6.0,5.0,11.0
KBNA,BNA,Nashville Intl,Nashville,942.0,135.45,02:15,6.0,5.0,11.0
KSEA,SEA,Seattle-Tacoma Intl,Seattle,2501.86,314.66,05:15,7.0,4.0,11.0
KMSP,MSP,Minneapolis/St Paul Intl,Minneapolis,1122.0,147.1,02:27,5.0,5.0,10.0
KPHX,PHX,Phoenix Sky Harbor Intl,Phoenix,2298.0,300.34,05:00,6.0,4.0,10.0
KCMH,CMH,John Glenn Columbus Intl Airport,Columbus,639.0,91.22,01:31,5.0,4.0,9.0
KJAX,JAX,Jacksonville Intl,Jacksonville,1059.0,138.5,02:18,5.0,4.0,9.0
KIAH,IAH,Houston Bush Int'ctl,Houston,1617.6,229.67,03:50,5.0,3.0,8.0
KMSY,MSY,New Orleans Intl,New Orleans,1368.0,198.62,03:19,4.0,4.0,8.0
KIND,IND,Indianapolis Intl,Indianapolis,817.0,111.75,01:52,4.0,4.0,8.0
KRIC,RIC,Richmond Intl,Richmond,513.75,88.5,01:28,4.0,4.0,8.0
KCLE,CLE,Cleveland-Hopkins Intl,Cleveland,562.0,81.25,01:21,4.0,4.0,8.0
CYUL,YUL,Montreal-Trudeau,Montreal,254.0,51.04,00:51,4.0,3.0,7.0
EHAM,AMS,Amsterdam Schiphol,Amsterdam,3460.75,405.71,06:46,4.0,3.0,7.0
KLAS,LAS,Harry Reid Intl,Las Vegas,2391.25,310.29,05:10,4.0,3.0,7.0
CYYZ,YYZ,Toronto Pearson Int'l,Toronto,445.0,74.12,01:14,3.0,4.0,7.0
KSTL,STL,St Louis Lambert Intl,St Louis,1045.0,141.21,02:21,3.0,4.0,7.0
